0,1
Plöwen,Plöwe
Ausstattungen,Ausstattung
Traktanden,Traktandum
Drüsen,Drüse
Ambulanten,Ambulant
Vulkanen,Vulkan
Stickereien,Stickerei
Infoständen,Infostand
Astrologen,Astrologe
Rillen,Rille
Pokalen,Pokal
Zentralen,Zentral
Nordhessen,Nordhesse
Straßenmeistereien,Straßenmeisterei
Obelisken,Obelisk
Waldbränden,Waldbrand
Motorsägen,Motorsäge
Fallpauschalen,Fallpauschale
Oboen,Oboe
Paschtunen,Paschtune
Hussiten,Hussite
Wallanlagen,Wallanlage
Auswüchsen,Auswuchs
Leuchtdioden,Leuchtdiode
Manualen,Manual
Gesinnungen,Gesinnung
Narzissen,Narzisse
Böschungen,Böschung
Ethnologen,Ethnologe
Regionalligen,Regionalliga
Portalen,Portal
Kulturinstitutionen,Kulturinstitution
Nachbarschaften,Nachbarschaft
Rodungen,Rodung
Krämpfen,Krampf
Auszeichnungen,Auszeichnung
Dürren,Dürre
Kiosken,Kiosk
Hülsen,Hülse
Breitengraden,Breitengrad
Exerzitien,Exerzitium
Fehden,Fehde
Gazetten,Gazette
Fehlbildungen,Fehlbildung
Bündnissen,Bündnis
Mappen,Mappe
Fußball-landesligisten,Fußball-landesligist
Absenzen,Abwesenheit
Hybriden,Hybrid
Prägungen,Prägung
Spitzenathleten,Spitzenathlet
Kristallen,Kristall
Latten,Latte
Politiken,Politik
Blondinen,Blondine
Götzen,Götze
Sehnsüchten,Sehnsucht
Schwanen,Schwan
Sandinisten,Sandinist
Sichten,Sicht
Stechmücken,Stechmücke
Bürsten,Bürste
Frauen,Frau
Adjutanten,Adjutant
Metzgereien,Metzgerei
Distrikten,Distrikt
Schädlingen,Schädling
Quallen,Qualle
Skalen,Skala
Keksen,Keks
Psychopathen,Psychopath
Werbekunden,Werbekunde
Diskrepanzen,Diskrepanz
Bildbreiten,Bildbreite
Mulden,Mulde
Besorgungen,Besorgung
Saisonen,Saison
Beeten,Beet
Belohnungen,Belohnung
Walen,Wal
Schuldverschreibungen,Schuldverschreibung
Personalien,Personalie
Tätlichkeiten,Tätlichkeit
Bruderschaften,Bruderschaft
Stelen,Stele
Fährten,Fährte
Legierungen,Legierung
Dressen,Dress
Mägen,Magen
Spulen,Spule
Bestien,Bestie
Runen,Rune
Gurten,Gurt
Gärtnereien,Gärtnerei
Ventilen,Ventil
Gänsen,Gans
Motivationen,Motivation
Herzögen,Herzog
Schrammen,Schramme
Romanzen,Romanze
Kopfbedeckungen,Kopfbedeckung
Philosophien,Philosophie
Verlängerungen,Verlängerung
Unkonzentriertheiten,Unkonzentriertheit
Frustrationen,Frustration
Paläontologen,Paläontologe
Historien,Historie
Kreationisten,Kreationist
Bekundungen,Bekundung
Vereinsmannschaften,Vereinsmannschaft
Fußballmannschaften,Fußballmannschaft
Transplantationen,Transplantation
Warzen,Warze
Prügeleien,Prügelei
Zwischenrufen,Zwischenruf
Hornissen,Hornisse
Daten,Datum
Gehölzen,Gehölz
Zusammenkünften,Zusammenkunft
Vernissagen,Vernissage
Gesetzentwürfen,Gesetzentwurf
Restaurierungen,Restaurierung
Vokalen,Vokal
Ausschweifungen,Ausschweifung
Fiktionen,Fiktion
Quittungen,Quittung
Restrukturierungen,Restrukturierung
Kamelen,Kamel
Gewissheiten,Gewissheit
Silhouetten,Silhouette
Oden,Ode
Grotten,Grotte
Düsen,Düse
Diamantenen,Diamant
Live-übertragungen,Live-Übertragung
Reflexen,Reflex
Problemlagen,Problemlage
Kinder,Kind
Sträucher,Strauch
Weiber,Weib
Weiber,Weib
Eier,Ei
Bistümer,Bistum
Tücher,Tuch
Kälber,Kalb
Hölzer,Holz
Ränder,Rand
Gewänder,Gewand
Lämmer,Lamm
Kinder,Kind
Heiligtümer,Heiligtum
Besitztümer,Besitz
Fürstentümer,Fürstentum
Handtücher,Handtuch
Münder,Mund
Altertümer,Altertum
Eier,Ei
Geschmäcker,Geschmack
Herzogtümer,Herzogtum
Titularbistümer,Titularbistum
Bilder,Bild
Viecher,Vieh
Kopftücher,Kopftuch
Biester,Biest
Taschentücher,Taschentuch
Präsidentin,Präsident
Autorin,Autor
Schauspielerin,Schauspieler
Freundin,Freund
Medizin,Mediziner
Sprecherin,Sprecher
Kollegin,Kollege
Vizepräsidentin,Vizepräsident
Schülerin,Schüler
Sängerin,Sänger
Leiterin,Leiter
Königin,König
Ministerin,Minister
Kanzlerin,Kanzler
Künstlerin,Künstler
Mitarbeiterin,Mitarbeiter
Prinzessin,Prinz
Lehrerin,Lehrer
Bundeskanzlerin,Bundeskanzler
Bürgermeisterin,Bürgermeister
Bürgerin,Bürger
Gattin,Gatte
Schriftstellerin,Schriftsteller
Politikerin,Politiker
Geschäftsführerin,Geschäftsführer
Gräfin,Graf
Chefin,Chef
Journalistin,Journalist
Richterin,Richter
Regisseurin,Regisseur
Direktorin,Direktor
Nachfolgerin,Nachfolger
Ärztin,Arzt
Studentin,Student
Trainerin,Trainer
Malerin,Maler
Lebensgefährtin,Lebensgefährte
Partnerin,Partner
Kandidatin,Kandidat
Moderatorin,Moderator
Siegerin,Sieger
Senatorin,Senator
Zeugin,Zeuge
Sekretärin,Sekretär
Referentin,Referent
Schulleiterin,Schulleiter
Nachbarin,Nachbar
Weltmeisterin,Weltmeister
Stadträtin,Stadtrat
Ministerpräsidentin,Ministerpräsident
Kaiserin,Kaiser
Justizministerin,Justizminister
Pfarrerin,Pfarrer
Sopranistin,Sopranist
Staatssekretärin,Staatssekretär
Professorin,Professor
Verkäuferin,Verkäufer
Tänzerin,Tänzer
Meisterin,Meister
Pianistin,Pianist
Olympiasiegerin,Olympiasieger
Pressesprecherin,Pressesprecher
Schriftführerin,Schriftführer
Oberbürgermeisterin,Oberbürgermeister
Amerikanerin,Amerikaner
Vertreterin,Vertreter
Autofahrerin,Autofahrer
Sozialministerin,Sozialminister
Spielerin,Spieler
Göttin,Gott
Patientin,Patient
Redakteurin,Redakteur
Stellvertreterin,Stellvertreter
Anwältin,Anwalt
Herzogin,Herzog
Staatsanwältin,Staatsanwalt
Besitzerin,Besitzer
Fahrerin,Fahrer
Rentnerin,Rentner
Erzieherin,Erzieher
Enkelin,Enkel
Hauptdarstellerin,Hauptdarsteller
Französin,Franzose
Russin,Russe
Schweizerin,Schweizer
Kassiererin,Kassierer
Gemahlin,Gemahl
Leserin,Leser
Fotografin,Fotograf
Wirtin,Wirt
Außenministerin,Außenminister
Bundesrätin,Bundesrat
Expertin,Experte
Weinkönigin,Weinkönig
Umweltministerin,Umweltminister
Psychologin,Psychologe
Gesundheitsministerin,Gesundheitsminister
Fürstin,Fürst
Landrätin,Landrat
Juristin,Jurist
Inhaberin,Berlinerin
Inhaberin,Inhaber
Berlinerin,Berliner
Gemeinderätin,Gemeinderat
Ortsbürgermeisterin,Ortsbürgermeister
Eigentümerin,Eigentümer
Kundin,Kunde
Musikerin,Musiker
Jubilarin,Jubilar
Assistentin,Assistent
Landesrätin,Landesrat
Dichterin,Dichter
Sportlerin,Sportler
Heldin,Held
Teilnehmerin,Teilnehmer
Athletin,Athlet
Spitzenkandidatin,Spitzenkandidat
Kultusministerin,Kultusminister
Bundesministerin,Bundesminister
Seniorin,Senior
Polizistin,Polizist
Österreicherin,Österreicher
Solistin,Solist
Korrespondentin,Korrespondent
Gewinnerin,Gewinner
Rechtsanwältin,Rechtsanwalt
Familienministerin,Familienminister
Komponistin,Komponist
Organisatorin,Organisator
Pädagogin,Pädagoge
Köchin,Koch
Gegnerin,Gegner
Beifahrerin,Beifahrer
Pensionistin,Pensionist
Bildungsministerin,Bildungsminister
Staatsministerin,Staatsminister
Darstellerin,Darsteller
Äbtissin,Äbtiss
Bäuerin,Bauer
Cdu-Chefin,Cdu-Chef
Leichtathletin,Leichtathlet
Europameisterin,Europameister
Betreuerin,Betreuer
Regierungschefin,Regierungschef
Bundesjustizministerin,Bundesjustizminister
Historikerin,Historiker
Favoritin,Favorit
Schwägerin,Schwager
Wählerin,Wähler
Architektin,Architekt
Rektorin,Rektor
Kellnerin,Kellner
Projektleiterin,Projektleiter
Hündin,Hund
Kommissarin,Kommissar
Sozialarbeiterin,Sozialarbeiter
Arbeitnehmerin,Arbeitnehmer
Generalsekretärin,Generalsekretär
Italienerin,Italiener
Us-Außenministerin,Us-Außenminister
Unternehmerin,Unternehmer
Klägerin,Kläger
Rednerin,Redner
Ortsvorsteherin,Ortsvorsteher
Britin,Brite
Finanzministerin,Finanzminister
Beraterin,Berater
Parteichefin,Parteichef
Besucherin,Besucher
Reporterin,Reporter
Managerin,Manager
Begleiterin,Begleiter
Jüdin,Jude
Übersetzerin,Übersetzer
Botschafterin,Botschafter
Schwimmerin,Schwimmer
Fraktionschefin,Fraktionschef
Titelverteidigerin,Titelverteidiger
Gründerin,Gründer
Tennisspielerin,Tennisspieler
Lenkerin,Lenker
Designerin,Designer
Regierungsrätin,Regierungsrat
Kuratorin,Kurator
Ex-Freundin,Ex-Freund
Bildhauerin,Bildhauer
Ansprechpartnerin,Ansprechpartner
Bewohnerin,Bewohner
Konkurrentin,Konkurrent
Sozialpädagogin,Sozialpädagoge
Dozentin,Dozent
Vizebürgermeisterin,Vizebürgermeister
Pastorin,Pastor
Herrin,Herr
Nationalrätin,Nationalrat
Trägerin,Träger
Dirigentin,Dirigent
Torhüterin,Torhüter
Schwedin,Premierministerin
Schwedin,Schwede
Premierministerin,Premierminister
Chorleiterin,Chorleiter
Wissenschaftlerin,Wissenschaftler
Beamtin,Beamter
Klassenlehrerin,Klassenlehrer
Betreiberin,Betreiber
Kursleiterin,Kursleiter
Gastgeberin,Gastgeber
Radfahrerin,Radfahrer
Geigerin,Geiger
Chinesin,Chinese
Bundesfamilienministerin,Bundesfamilienminister
Kunsthistorikerin,Kunsthistoriker
Protagonistin,Protagonist
Erbin,Erbe
Intendantin,Intendant
Initiatorin,Initiator
Polizeisprecherin,Polizeisprecher
Schatzmeisterin,Schatzmeister
Nationalspielerin,Nationalspieler
Opernsängerin,Opernsänger
Nebendarstellerin,Nebendarsteller
Schulmedizin,Schulmediziner
Erzählerin,Erzähler
Anwohnerin,Anwohner
Kindergärtnerin,Kindergärtner
Mieterin,Mieter
Haushälterin,Haushälter
Herausgeberin,Herausgeber
Wienerin,Wiener
Übungsleiterin,Übungsleiter
Polin,Pole
Spd-Politikerin,Spd-Politiker
Abteilungsleiterin,Abteilungsleiter
Badmintonspielerin,Badmintonspieler
Frauenministerin,Frauenminister
Aussenministerin,Aussenminister
Produzentin,Produzent
Läuferin,Läufer
Filmemacherin,Filmemacher
Tierärztin,Tierarzt
Verteidigerin,Verteidiger
Preisträgerin,Preisträger
Soziologin,Soziologe
Arbeiterin,Arbeiter
Feministin,Feminist
Spanierin,Spanier
Bundesbildungsministerin,Bundesbildungsminister
Sozialdemokratin,Sozialdemokrat
Chefredakteurin,Chefredakteur
Fußballspielerin,Fußballspieler
Türkin,Türke
Koordinatorin,Koordinator
Oppositionsführerin,Oppositionsführer
Reiterin,Reiter
Cdu-Politikerin,Cdu-Politiker
Friseurin,Friseur
Mandantin,Mandant
Filmschauspielerin,Filmschauspieler
Kabarettistin,Kabarettist
Frauenrechtlerin,Frauenrechtler
Praktikantin,Praktikant
Popsängerin,Popsänger
Australierin,Australier
Us-Amerikanerin,Us-Amerikaner
Fußgängerin,Fußgänger
Theologin,Theologe
Kassierin,Kassierer
Bundestrainerin,Bundestrainer
Täterin,Täter
Japanerin,Japaner
Bundesgesundheitsministerin,Bundesgesundheitsminister
Bundespräsidentin,Bundespräsident
Drehbuchautorin,Drehbuchautor
Schirmherrin,Schirmherr
Ausländerin,Ausländer
Tschechin,Tscheche
Fernsehmoderatorin,Fernsehmoderator
Sprinterin,Sprinter
Arbeitsministerin,Arbeitsminister
Dolmetscherin,Dolmetscher
Kanadierin,Kanadier
Rechtsmedizin,Rechtsmediziner
Lyrikerin,Lyriker
Mezzosopranistin,Mezzosopranist
Innenministerin,Innenminister
Biologin,Biologe
Sachbearbeiterin,Sachbearbeiter
Teamkollegin,Teamkollege
Rivalin,Rivale
Choreografin,Choreograf
Helferin,Helfer
Sozialsenatorin,Sozialsenator
Organistin,Organist
Engländerin,Engländer
Gefährtin,Gefährte
Pkw-Fahrerin,Pkw-Fahrer
Pflegerin,Pfleger
Philosophin,Philosoph
Wirtschaftsministerin,Wirtschaftsminister
Philosophin,Philosoph
Beisitzerin,Beisitzer
Eu-Kommissarin,Eu-Kommissar
Therapeutin,Therapeut
Skirennläuferin,Skirennläufer
Kronprinzessin,Kronprinz
Physiotherapeutin,Physiotherapeut
Kindergartenleiterin,Kindergartenleiter
Eiskunstläuferin,Eiskunstläufer
Kämmerin,Kämmerer
Apothekerin,Apotheker
Regentin,Regent
Niederländerin,Niederländer
Archäologin,Archäologe
Bischöfin,Bischof
Vermieterin,Vermieter
Bundestagspräsidentin,Bundestagspräsident
Publizistin,Publizist
Zahnmedizin,Zahnmediziner
Agentin,Agent
Passantin,Passant
Galeristin,Galerist
Nürnbergerin,Nürnberger
Psychotherapeutin,Psychotherapeut
Heimleiterin,Heimleiter
Mitbegründerin,Mitbegründer
Hamburgerin,Hamburger
Aktivistin,Aktivist
Pornodarstellerin,Pornodarsteller
Rumänin,Rumäne
Medizinerin,Mediziner
Schlagersängerin,Schlagersänger
Kulturdezernentin,Kulturdezernent
Forscherin,Forscher
Schneiderin,Schneider
Kultursenatorin,Kultursenator
Verlegerin,Verleger
Mannheimerin,Mannheimer
Unterrichtsministerin,Unterrichtsminister
Touristin,Tourist
Grafikerin,Grafiker
Kämpferin,Kämpfer
Finanzsenatorin,Finanzsenator
Kulturministerin,Kulturminister
Synchronsprecherin,Synchronsprecher
Bewerberin,Bewerber
Grünen-Politikerin,Grünen-Politiker
Spielführerin,Spielführer
Wissenschaftsministerin,Wissenschaftsminister
Gymnasiastin,Gymnasiast
Belgierin,Belgier
Ungarin,Ungar
Choreographin,Choreograf
Bibliothekarin,Bibliothekar
Vizekanzlerin,Vizekanzler
Norwegerin,Norweger
Zuschauerin,Zuschauer
Arzthelferin,Arzthelfer
Salzburgerin,Salzburger
Intensivmedizin,Intensivmediziner
Amtsleiterin,Amtsleiter
Verfasserin,Verfasser
Friedensnobelpreisträgerin,Friedensnobelpreisträger
Turnerin,Turner
Münchnerin,Münchner
Hausherrin,Hausherr
Tirolerin,Tiroler
Zarin,Zar
Heilpraktikerin,Heilpraktiker
Ernährungsberaterin,Ernährungsberater
Sklavin,Sklave
Kantorin,Kantor
Berichterstatterin,Berichterstatter
Buchhändlerin,Buchhändler
Veterinärmedizin,Veterinärmediziner
Sportmedizin,Sportmediziner
Kantonsrätin,Kantonsrat
Grünen-Chefin,Grünen-Chef
Kritikerin,Kritiker
Stürmerin,Stürmer
Dezernentin,Dezernent
Rebellin,Rebell
Museumsleiterin,Museumsleiter
Monarchin,Monarch
Mitschülerin,Mitschüler
Allgemeinmedizin,Allgemeinmediziner
Filialleiterin,Filialleiter
Mörderin,Mörder
Altenpflegerin,Altenpfleger
Humanmedizin,Humanmediziner
Justizsenatorin,Justizsenator
Kita-Leiterin,Kita-Leiter
Gemeindereferentin,Gemeindereferent
Gemeindepräsidentin,Gemeindepräsident
Dramaturgin,Dramaturg
Buchautorin,Buchautor
Kulturreferentin,Grünen-Fraktionschefin
Kulturreferentin,Kulturreferent
Grünen-Fraktionschefin,Grünen-Fraktionschef
Repräsentantin,Repräsentant
Gerichtsmedizin,Gerichtsmediziner
Oberin,Ober
Triathletin,Triathlet
Lokalmatadorin,Lokalmatador
Vorsteherin,Vorsteher
Universitätsmedizin,Universitätsmediziner
Zeichnerin,Zeichner
Kinderbuchautorin,Kinderbuchautor
Cellistin,Cellist
Konrektorin,Konrektor
Unternehmenssprecherin,Unternehmenssprecher
Mainzerin,Mainzer
Patin,Pate
Brasilianerin,Brasilianer
Kosmetikerin,Kosmetiker
Pächterin,Pächter
Musiklehrerin,Musiklehrer
Pflegedienstleiterin,Pflegedienstleiter
Songwriterin,Songwriter
Physikerin,Physiker
Kroatin,Kroate
Weinprinzessin,Weinprinz
Gesellschafterin,Gesellschafter
Bauherrin,Bauherr
Bauamtsleiterin,Bauamtsleiter
Violinistin,Violinist
Dänin,Däne
Bundesarbeitsministerin,Bundesarbeitsminister
Landtagspräsidentin,Landtagspräsident
Ukrainerin,Ukrainer
Spezialistin,Spezialist
Oberärztin,Oberarzt
Illustratorin,Illustrator
Kassenwartin,Kassenwart
Veranstalterin,Veranstalter
Alternativmedizin,Alternativmediziner
Abiturientin,Abiturient
Vizemeisterin,Vizemeister
TV-Moderatorin,TV-Moderator
Muslimin,Muslim
Lebenspartnerin,Lebenspartner
Nebenklägerin,Nebenkläger
Lektorin,Lektor
Chefärztin,Chefarzt
Gesundheitssenatorin,Gesundheitssenator
Hüterin,Hüter
Spielerinnen,Spieler
Sängerinnen,Sänger
Erzieherinnen,Erzieher
Teilnehmerinnen,Teilnehmer
Tänzerinnen,Tänzer
Gastgeberinnen,Gastgeber
Turnerinnen,Turner
Seniorinnen,Senior
Besucherinnen,Besucher
Helferinnen,Helfer
Kandidatinnen,Kandidat
Patientinnen,Patient
Studentinnen,Student
Juniorinnen,Junior
Musikerinnen,Musiker
Schülerinnen,Schüler
Schweizerinnen,Schweizer
Sportlerinnen,Sportler
Läuferinnen,Läufer
Bäuerinnen,Bauer
Athletinnen,Athlet
Handballerinnen,Handballer
Gegnerinnen,Gegner
Mitarbeiterinnen,Mitarbeiter
Bewohnerinnen,Bewohner
Bewerberinnen,Bewerber
Betreuerinnen,Betreuer
Fußballerinnen,Fußballer
Volleyballerinnen,Volleyballer
Migrantinnen,Migrant
Konkurrentinnen,Konkurrent
Ärztinnen,Arzt
Fahrerinnen,Fahrer
Verkäuferinnen,Verkäufer
Beamtinnen,Beamter
Soldatinnen,Soldat
Leiterinnen,Leiter
Bürgerinnen,Bürger
Lehrerinnen,Lehrer
Verbraucherinnen,Verbraucher
Einwohnerinnen,Einwohner
Sekretärinnen,Sekretär
Kindergärtnerinnen,Kindergärtner
Mitbürgerinnen,Mitbürger
Österreicherinnen,Österreicher
Partnerinnen,Partner
Künstlerinnen,Künstler
Zuhörerinnen,Zuhörer
Stimmbürgerinnen,Stimmbürger
Organisatorinnen,Organisator
Franziskanerinnen,Franziskaner
Absolventinnen,Absolvent
Polizistinnen,Polizist
Russinnen,Russe
Musikantinnen,Musikant
Wissenschaftlerinnen,Wissenschaftler
Trainerinnen,Trainer
Amerikanerinnen,Amerikaner
Kolleginnen,Kollege
Basketballerinnen,Basketballer
Starterinnen,Starter
Siegerinnen,Sieger
Reiterinnen,Reiter
Favoritinnen,Favorit
Schwimmerinnen,Schwimmer
Leserinnen,Leser
Richterinnen,Richter
Heldinnen,Held
Beraterinnen,Berater
Ministerinnen,Minister
Mitstreiterinnen,Mitstreiter
Gallerinnen,Galler
Schützinnen,Schütze
Chinesinnen,Chinese
Solistinnen,Solist
Nationalspielerinnen,Nationalspieler
Wählerinnen,Wähler
Teamkolleginnen,Teamkollege
Professorinnen,Professor
